step,training_loss,validation_loss
11780,2.0144,
11790,2.1845,
11800,1.9377,
11810,1.9154,
11820,2.1686,
11830,2.0692,
11840,1.7852,
11850,2.1718,
11860,2.3187,
11870,1.985,
11880,2.0986,
